method,resource
Forestry,Unspecified water (Liters/tCO2)
Durable biobased products,Non-arable land (ha/tCO2)
Durable biobased products,Electrical energy (MWh/tCO2)
Durable biobased products,Unspecified water (Liters/tCO2)
Bio-char - Forest biomass,Unspecified land (ha/tCO2)
Bio-char - Forest biomass,Electrical energy (MWh/tCO2)
Bio-char - Forest biomass,Unspecified water (Liters/tCO2)
Bio-char - Non-forest biomass,Unspecified land (ha/tCO2)
Bio-char - Non-forest biomass,Electrical energy (MWh/tCO2)
Bio-char - Non-forest biomass,Unspecified water (Liters/tCO2)
Bio-char - Unspecified biomass,Unspecified land (ha/tCO2)
Bio-char - Unspecified biomass,Electrical energy (MWh/tCO2)
Bio-char - Unspecified biomass,Unspecified water (Liters/tCO2)
BioCCS with combustion,Unspecified chemical (t/tCO2)
BioCCS with combustion,Electrical energy (MWh/tCO2)
BioCCS with combustion,Thermal energy (MWh/tCO2)
BioCCS with combustion,Unspecified water (Liters/tCO2)
BioCCS with combustion & growing biomass,Unspecified chemical (t/tCO2)
BioCCS with combustion & growing biomass,Electrical energy (MWh/tCO2)
BioCCS with combustion & growing biomass,Thermal energy (MWh/tCO2)
BioCCS with combustion & growing biomass,Unspecified water (Liters/tCO2)
BioCCS with anaerobic digestion/fermentation,Unspecified water (Liters/tCO2)
BioCCS with anaerobic digestion/fermentation & growing biomass,Unspecified water (Liters/tCO2)
Enhanced weathering - Basalt mineral,Arable land (ha/tCO2)
Enhanced weathering - Basalt mineral,Non-arable land (ha/tCO2)
Enhanced weathering - Basalt mineral,Electrical energy (MWh/tCO2)
Enhanced weathering - Basalt mineral,Unspecified water (Liters/tCO2)
Enhanced weathering - Olivine mineral,Arable land (ha/tCO2)
Enhanced weathering - Olivine mineral,Non-arable land (ha/tCO2)
Enhanced weathering - Olivine mineral,Electrical energy (MWh/tCO2)
Enhanced weathering - Olivine mineral,Unspecified water (Liters/tCO2)
Enhanced weathering - Wollastonite mineral,Arable land (ha/tCO2)
Enhanced weathering - Wollastonite mineral,Non-arable land (ha/tCO2)
Enhanced weathering - Wollastonite mineral,Electrical energy (MWh/tCO2)
Enhanced weathering - Wollastonite mineral,Unspecified water (Liters/tCO2)
Enhanced weathering - Unspecified mineral,Arable land (ha/tCO2)
Enhanced weathering - Unspecified mineral,Non-arable land (ha/tCO2)
Enhanced weathering - Unspecified mineral,Electrical energy (MWh/tCO2)
Enhanced weathering - Unspecified mineral,Unspecified water (Liters/tCO2)
Mineral OAE / Ocean liming,Non-arable land (ha/tCO2)
Mineral OAE / Ocean liming,Electrical energy (MWh/tCO2)
Mineral OAE / Ocean liming,Thermal energy (MWh/tCO2)
Mineral OAE / Ocean liming,Unspecified water (Liters/tCO2)
Electrochemical OAE,Non-arable land (ha/tCO2)
Electrochemical DACCS,Non-arable land (ha/tCO2)
Low-temp DACCS (solid-sorbent/liquid-solvent),Unspecified water (Liters/tCO2)
High-temp DACCS (solid-sorbent/liquid-solvent),Unspecified water (Liters/tCO2)
Mineral looping DACCS,Unspecified water (Liters/tCO2)
